sku,media_mensual,desv_tipica,cv,clase_xyz
ZW-TEE-001,5000.0,366.0844620211753,0.07321689240423505,X
ZW-TEE-002,1000.0,282.6231295087742,0.28262312950877416,Y
ZW-TEE-003,250.0,32.77702447345295,0.13110809789381178,X
ZW-DEN-001,1666.6666666666667,130.3382352019374,0.07820294112116244,X
ZW-DEN-002,666.6666666666666,234.27346319110825,0.3514101947866624,Y
ZW-DEN-003,83.33333333333333,55.035342180174446,0.6604241061620933,Z
ZW-SAS-001,58.333333333333336,19.829831623647795,0.33993997069110504,Y
ZW-SAS-002,750.0,54.52063829413592,0.07269418439218123,X
ZW-SAS-003,41.666666666666664,21.151569419049945,0.5076376660571987,Z
ZW-VES-001,125.0,86.69198348174992,0.6935358678539993,Z
ZW-VES-002,500.0,185.42518707014966,0.3708503741402993,Y
ZW-VES-003,66.66666666666667,40.97017885676795,0.6145526828515192,Z
ZW-ACC-001,250.0,24.100484089190683,0.09640193635676274,X
ZW-ACC-002,100.0,23.83275057562597,0.2383275057562597,X
ZW-ACC-003,166.66666666666666,87.62166145169559,0.5257299687101735,Z
ZW-PUN-001,125.0,33.201405592735576,0.2656112447418846,Y
ZW-PUN-002,66.66666666666667,42.96962751629212,0.6445444127443818,Z
ZW-CAZ-001,75.0,37.1685350800916,0.49558046773455466,Y
ZW-CAZ-002,50.0,36.6992279664482,0.733984559328964,Z
ZW-ACC-004,333.3333333333333,39.196796921290506,0.11759039076387152,X
